Date	AAPL	BA	T	MGM	AMZN	IBM	TSLA	GOOG	sp500
6/29/2012	83.428574	74.300003	35.66	11.16	228.350006	195.580002	31.290001	288.951935	1362.160034
7/2/2012	84.645714	73.18	36.200001	11.05	229.320007	195.830002	30.4	289.151184	1365.51001
7/3/2012	85.629997	74.269997	36	11.13	229.529999	195.929993	30.66	292.817444	1374.02002
7/5/2012	87.134285	74.440002	35.77	10.99	227.059998	195.289993	31.23	296.847351	1367.579956
7/6/2012	86.554283	73.690002	35.439999	10.83	225.050003	191.410004	30.99	291.895905	1354.680054
7/9/2012	87.69857	74.029999	35.540001	10.5	225.050003	189.669998	31.49	291.910858	1352.459961
7/10/2012	86.887146	73.220001	35.439999	10.37	219.5	186.259995	31.27	289.763885	1341.469971
7/11/2012	86.347145	71.519997	35.259998	10.21	218.369995	185.25	31.51	284.528503	1341.449951
7/12/2012	85.557144	71.709999	34.869999	9.75	215.360001	183.089996	32.700001	284.174835	1334.76001
7/13/2012	86.424286	73.510002	35.349998	9.8	218.389999	186.009995	34.25	287.183563	1356.780029
7/16/2012	86.701431	72.970001	35.419998	9.76	216.009995	184.789993	35.959999	286.386566	1353.640015
7/17/2012	86.705711	73.110001	35.82	10.05	216.929993	183.649994	33.349998	287.288177	1363.670044
7/18/2012	86.608574	73.889999	36.189999	10.15	217.470001	188.25	32.150002	289.295654	1372.780029
7/19/2012	87.760002	74.860001	35.48	10.32	226.169998	195.339996	32.27	295.422668	1376.51001
7/20/2012	86.328575	73.889999	35.290001	9.78	228.289993	192.449997	31.790001	304.269531	1362.660034
7/23/2012	86.261429	72.910004	35.380001	9.77	226.009995	190.830002	30.66	306.605774	1350.52002
7/24/2012	85.845711	72.029999	34.630001	9.4	223.039993	190.339996	29.84	302.650604	1338.310059
7/25/2012	82.138573	74.029999	35.330002	9.2	217.050003	191.080002	28.950001	302.859802	1337.890015
7/26/2012	82.125717	74.910004	36.299999	9.22	220.009995	193.949997	28.129999	305.53479	1360.02002
7/27/2012	83.594284	75.510002	37.139999	9.44	237.320007	196.389999	29.51	316.294464	1385.969971
7/30/2012	85.004288	74.860001	37.43	9.48	236.089996	196.679993	27.35	314.969421	1385.300049
7/31/2012	87.251427	73.910004	37.919998	9.52	233.300003	195.979996	27.42	315.303162	1379.319946
8/1/2012	86.687141	72.769997	37.639999	9.42	232.089996	195.179993	26.25	315.158722	1375.319946
8/2/2012	86.827141	71.989998	37.540001	9	230.809998	194.449997	26.1	313.20105	1365
8/3/2012	87.957146	72.809998	37.580002	9.26	234.970001	198.520004	27.27	319.46756	1390.98999
8/6/2012	88.935715	72.889999	37.610001	9.38	233.990005	198.759995	28.27	320.209778	1394.22998
8/7/2012	88.701431	74.459999	37.439999	10.08	236.559998	199.929993	30.25	319.074036	1401.349976
8/8/2012	88.55143	74.599998	37.43	9.82	234.380005	199.029999	29.09	319.915863	1402.219971
8/9/2012	88.675713	74.279999	37.23	9.62	234.059998	198.419998	29.41	319.975647	1402.800049
8/10/2012	88.814285	74.209999	37.490002	9.67	232.75	199.289993	29.940001	319.8013	1405.869995
8/13/2012	90	74.190002	37.389999	9.94	232.440002	199.009995	31.17	328.772675	1404.109985
8/14/2012	90.241432	73.809998	37.25	9.96	233.190002	198.289993	29.42	333.081543	1403.930054
